id_text,provenience,assumed_prov,Random
P100001,Umma (mod. Tell Jokha),,5
P100002,Umma (mod. Tell Jokha),,5
P100003,Umma (mod. Tell Jokha),,9
P100004,Umma (mod. Tell Jokha),,7
P100005,Umma (mod. Tell Jokha),,10
P100006,Umma (mod. Tell Jokha),,5
P100007,Umma (mod. Tell Jokha),,7
P100008,Umma (mod. Tell Jokha),,4
P100009,Umma (mod. Tell Jokha),,1
P100010,Umma (mod. Tell Jokha),,6
P100011,Umma (mod. Tell Jokha),,6
P100012,Umma (mod. Tell Jokha),,9
P100013,Umma (mod. Tell Jokha),,1
P100014,Umma (mod. Tell Jokha),,7
P100015,Umma (mod. Tell Jokha),,9
P100016,Umma (mod. Tell Jokha),,6
P100017,Umma (mod. Tell Jokha),,1
P100018,Umma (mod. Tell Jokha),,3
P100019,Umma (mod. Tell Jokha),,1
P100020,Umma (mod. Tell Jokha),,9
P100021,Umma (mod. Tell Jokha),,2
P100022,Umma (mod. Tell Jokha),,4
P100023,Umma (mod. Tell Jokha),,8
P100024,Umma (mod. Tell Jokha),,4
P100025,Umma (mod. Tell Jokha),,1
P100026,Umma (mod. Tell Jokha),,6
P100027,Umma (mod. Tell Jokha),,7
P100028,Umma (mod. Tell Jokha),,3
P100029,Umma (mod. Tell Jokha),,8
P100030,Umma (mod. Tell Jokha),,5
P100031,Umma (mod. Tell Jokha),,10
P100032,Umma (mod. Tell Jokha),,9
P100033,Umma (mod. Tell Jokha),,5
P100034,Umma (mod. Tell Jokha),,4
P100035,Umma (mod. Tell Jokha),,5
P100036,Umma (mod. Tell Jokha),,9
P100037,Umma (mod. Tell Jokha),,9
P100038,Umma (mod. Tell Jokha),,10
P100039,Umma (mod. Tell Jokha),,3
P100040,Umma (mod. Tell Jokha),,6
P100041,PuzriÅ¡-Dagan (mod. Drehem),,3
P100042,Umma (mod. Tell Jokha),,7
P100043,Umma (mod. Tell Jokha),,1
P100044,Umma (mod. Tell Jokha),,1
P100045,Umma (mod. Tell Jokha),,6
P100046,Umma (mod. Tell Jokha),,9
P100047,Umma (mod. Tell Jokha),,4
P100048,Umma (mod. Tell Jokha),,3
P100049,Umma (mod. Tell Jokha),,7
P100050,Umma (mod. Tell Jokha),,6
P100051,Umma (mod. Tell Jokha),,5
P100052,Umma (mod. Tell Jokha),,3
P100053,Umma (mod. Tell Jokha),,2
P100054,Umma (mod. Tell Jokha),,1
P100055,Umma (mod. Tell Jokha),,7
P100056,Umma (mod. Tell Jokha),,5
P100057,Umma (mod. Tell Jokha),,7
P100058,Umma (mod. Tell Jokha),,4
P100059,Umma (mod. Tell Jokha),,4
P100060,Umma (mod. Tell Jokha),,4
P100061,Umma (mod. Tell Jokha),,5
P100062,Umma (mod. Tell Jokha),,4
P100063,Umma (mod. Tell Jokha),,1
P100064,Umma (mod. Tell Jokha),,2
P100065,Umma (mod. Tell Jokha),,7
P100066,Umma (mod. Tell Jokha),,5
P100067,Umma (mod. Tell Jokha),,4
P100068,Umma (mod. Tell Jokha),,8
P100069,Umma (mod. Tell Jokha),,7
P100070,Umma (mod. Tell Jokha),,7
P100071,Umma (mod. Tell Jokha),,2
P100072,Umma (mod. Tell Jokha),,9
P100073,Umma (mod. Tell Jokha),,5
P100074,Umma (mod. Tell Jokha),,6
P100075,Umma (mod. Tell Jokha),,4
P100076,Umma (mod. Tell Jokha),,2
P100077,Umma (mod. Tell Jokha),,8
P100078,Umma (mod. Tell Jokha),,4
P100079,Umma (mod. Tell Jokha),,6
P100080,Umma (mod. Tell Jokha),,6
P100081,Umma (mod. Tell Jokha),,7
P100082,Umma (mod. Tell Jokha),,5
P100083,Umma (mod. Tell Jokha),,1
P100084,Umma (mod. Tell Jokha),,3
P100085,Umma (mod. Tell Jokha),,2
P100086,Umma (mod. Tell Jokha),,1
P100087,Umma (mod. Tell Jokha),,3
P100088,Umma (mod. Tell Jokha),,2
P100089,Umma (mod. Tell Jokha),,7
P100090,Umma (mod. Tell Jokha),,2
P100091,Umma (mod. Tell Jokha),,7
P100092,Umma (mod. Tell Jokha),,7
P100093,Umma (mod. Tell Jokha),,6
P100094,Umma (mod. Tell Jokha),,6
P100095,Umma (mod. Tell Jokha),,2
P100096,Umma (mod. Tell Jokha),,8
P100097,Umma (mod. Tell Jokha),,10
P100098,Umma (mod. Tell Jokha),,9
P100099,Umma (mod. Tell Jokha),,9
P100100,Umma (mod. Tell Jokha),,2
P100101,Umma (mod. Tell Jokha),,9
P100102,Umma (mod. Tell Jokha),,5
P100103,Umma (mod. Tell Jokha),,3
P100104,Umma (mod. Tell Jokha),,3
P100105,Umma (mod. Tell Jokha),,7
P100106,Umma (mod. Tell Jokha),,6
P100107,Umma (mod. Tell Jokha),,10
P100108,Umma (mod. Tell Jokha),,1
P100109,Umma (mod. Tell Jokha),,5
P100110,Umma (mod. Tell Jokha),,6
P100111,0,,9
P100112,Umma (mod. Tell Jokha),,2
P100113,Umma (mod. Tell Jokha),,5
P100114,Umma (mod. Tell Jokha),,3
P100115,Umma (mod. Tell Jokha),,4
P100116,Umma (mod. Tell Jokha),,8
P100117,Umma (mod. Tell Jokha),,9
P100118,Umma (mod. Tell Jokha),,6
P100119,Umma (mod. Tell Jokha),,4
P100120,Umma (mod. Tell Jokha),,4
P100121,Umma (mod. Tell Jokha),,2
P100122,Umma (mod. Tell Jokha),,2
P100123,Umma (mod. Tell Jokha),,10
P100124,Umma (mod. Tell Jokha),,5
P100125,Umma (mod. Tell Jokha),,5
P100126,Umma (mod. Tell Jokha),,4
P100127,Umma (mod. Tell Jokha),,9
P100128,Umma (mod. Tell Jokha),,7
P100129,Umma (mod. Tell Jokha),,10
P100130,Umma (mod. Tell Jokha),,4
P100131,Umma (mod. Tell Jokha),,5
P100132,Umma (mod. Tell Jokha),,1
P100133,Umma (mod. Tell Jokha),,7
P100134,Umma (mod. Tell Jokha),,6
P100135,Umma (mod. Tell Jokha),,5
P100136,Umma (mod. Tell Jokha),,10
P100137,0,,3
P100138,Umma (mod. Tell Jokha),,3
P100139,Umma (mod. Tell Jokha),,1
P100140,0,,3
P100141,Nippur (mod. Nuffar),,9
P100142,,Umma (mod. Tell Jokha) ,9
P100143,,Umma (mod. Tell Jokha) ,7
P100144,Girsu (mod. Tello),,7
P100145,Girsu (mod. Tello),,3
P100146,Girsu (mod. Tello),,2
P100147,Girsu (mod. Tello),,6
P100148,Girsu (mod. Tello),,10
P100149,Girsu (mod. Tello),,7
P100150,Girsu (mod. Tello),,7
P100151,Girsu (mod. Tello),,1
P100152,Girsu (mod. Tello),,10
P100153,Girsu (mod. Tello),,1
P100154,Girsu (mod. Tello),,8
P100155,Girsu (mod. Tello),,7
P100156,Girsu (mod. Tello),,5
P100158,Girsu (mod. Tello),,5
P100159,0,,9
P100160,Girsu (mod. Tello),,2
P100161,Girsu (mod. Tello),,9
P100162,Girsu (mod. Tello),,5
P100163,Girsu (mod. Tello),,2
P100164,Girsu (mod. Tello),,9
P100165,Girsu (mod. Tello),,3
P100166,Girsu (mod. Tello),,2
P100167,Girsu (mod. Tello),,8
P100168,Girsu (mod. Tello),,2
P100169,Girsu (mod. Tello),,8
P100170,Girsu (mod. Tello),,10
P100171,Girsu (mod. Tello),,8
P100172,Girsu (mod. Tello),,5
P100173,Girsu (mod. Tello),,5
P100174,Girsu (mod. Tello),,1
P100175,Girsu (mod. Tello),,6
P100176,Girsu (mod. Tello),,8
P100177,0,,10
P100178,Girsu (mod. Tello),,10
P100179,0,,6
P100180,0,,1
P100181,Girsu (mod. Tello),,1
P100184,Umma (mod. Tell Jokha),,6
P100185,0,,1
P100186,0,,10
P100187,0,,1
P100188,0,,10
P100189,PuzriÅ¡-Dagan (mod. Drehem),,4
P100190,PuzriÅ¡-Dagan (mod. Drehem),,5
P100191,PuzriÅ¡-Dagan (mod. Drehem),,10
P100193,Girsu (mod. Tello),,1
P100194,Girsu (mod. Tello),,6
P100195,Girsu (mod. Tello),,5
P100196,Girsu (mod. Tello),,3
P100197,Girsu (mod. Tello),,7
P100198,Girsu (mod. Tello),,6
P100199,Girsu (mod. Tello),,6
P100200,Girsu (mod. Tello),,5
P100201,Girsu (mod. Tello),,7
P100202,Girsu (mod. Tello),,6
P100203,Girsu (mod. Tello),,10
P100204,Girsu (mod. Tello),,9
P100205,Girsu (mod. Tello),,1
P100206,Girsu (mod. Tello),,9
P100207,Girsu (mod. Tello),,2
P100208,Girsu (mod. Tello),,10
P100209,Umma (mod. Tell Jokha),,1
P100210,Umma (mod. Tell Jokha),,1
P100211,PuzriÅ¡-Dagan (mod. Drehem),,1
P100212,Umma (mod. Tell Jokha),,10
P100214,PuzriÅ¡-Dagan (mod. Drehem),,3
P100215,PuzriÅ¡-Dagan (mod. Drehem),,1
P100217,PuzriÅ¡-Dagan (mod. Drehem),,10
P100218,PuzriÅ¡-Dagan (mod. Drehem),,8
P100219,PuzriÅ¡-Dagan (mod. Drehem),,8
P100220,PuzriÅ¡-Dagan (mod. Drehem),,2
P100221,PuzriÅ¡-Dagan (mod. Drehem),,2
P100222,PuzriÅ¡-Dagan (mod. Drehem),,9
P100223,PuzriÅ¡-Dagan (mod. Drehem),,9
P100224,PuzriÅ¡-Dagan (mod. Drehem),,1
P100226,PuzriÅ¡-Dagan (mod. Drehem),,8
P100227,PuzriÅ¡-Dagan (mod. Drehem),,8
P100228,PuzriÅ¡-Dagan (mod. Drehem),,3
P100229,PuzriÅ¡-Dagan (mod. Drehem),,8
P100230,PuzriÅ¡-Dagan (mod. Drehem),,9
P100231,PuzriÅ¡-Dagan (mod. Drehem),,1
P100232,PuzriÅ¡-Dagan (mod. Drehem),,1
P100234,Umma (mod. Tell Jokha),,8
P100235,Umma (mod. Tell Jokha),,3
P100236,Umma (mod. Tell Jokha),,4
P100237,Umma (mod. Tell Jokha),,7
P100238,0,,7
P100239,Umma (mod. Tell Jokha),,8
P100240,Umma (mod. Tell Jokha),,3
P100241,Umma (mod. Tell Jokha),,5
P100242,Umma (mod. Tell Jokha),,7
P100243,Umma (mod. Tell Jokha),,9
P100244,Umma (mod. Tell Jokha),,6
P100245,Umma (mod. Tell Jokha),,4
P100246,Umma (mod. Tell Jokha),,4
P100248,Umma (mod. Tell Jokha),,2
P100249,Umma (mod. Tell Jokha),,4
P100250,Umma (mod. Tell Jokha),,3
P100251,Umma (mod. Tell Jokha),,5
P100252,Umma (mod. Tell Jokha),,1
P100253,Umma (mod. Tell Jokha),,7
P100254,Umma (mod. Tell Jokha),,7
P100255,Umma (mod. Tell Jokha),,2
P100256,Umma (mod. Tell Jokha),,2
P100257,Umma (mod. Tell Jokha),,3
P100258,Umma (mod. Tell Jokha),,2
P100259,PuzriÅ¡-Dagan (mod. Drehem),,7
P100260,PuzriÅ¡-Dagan (mod. Drehem),,1
P100261,PuzriÅ¡-Dagan (mod. Drehem),,3
P100262,PuzriÅ¡-Dagan (mod. Drehem),,3
